id;name;geoid;geoname;value;datetime
10027;Demanda programada P48 total;;;22990.249;2023-01-14T02:00:00+01:00
10027;Demanda programada P48 total;;;22589.7;2023-01-14T03:00:00+01:00
10027;Demanda programada P48 total;;;21862.125;2023-01-14T04:00:00+01:00
10027;Demanda programada P48 total;;;21785;2023-01-14T05:00:00+01:00
10027;Demanda programada P48 total;;;22543.65;2023-01-14T06:00:00+01:00
10027;Demanda programada P48 total;;;23981.05;2023-01-14T07:00:00+01:00
10027;Demanda programada P48 total;;;25443.925;2023-01-14T08:00:00+01:00
10027;Demanda programada P48 total;;;27619.625;2023-01-14T09:00:00+01:00
10027;Demanda programada P48 total;;;28287.975;2023-01-14T10:00:00+01:00
10027;Demanda programada P48 total;;;27785.975;2023-01-14T11:00:00+01:00
10027;Demanda programada P48 total;;;27453.225;2023-01-14T12:00:00+01:00
10027;Demanda programada P48 total;;;27246.75;2023-01-14T13:00:00+01:00
10027;Demanda programada P48 total;;;27001.308;2023-01-14T14:00:00+01:00
10027;Demanda programada P48 total;;;25939.5;2023-01-14T15:00:00+01:00
10027;Demanda programada P48 total;;;25609.875;2023-01-14T16:00:00+01:00
10027;Demanda programada P48 total;;;26330.1;2023-01-14T17:00:00+01:00
10027;Demanda programada P48 total;;;27818.7;2023-01-14T18:00:00+01:00
10027;Demanda programada P48 total;;;29203.425;2023-01-14T19:00:00+01:00
10027;Demanda programada P48 total;;;30030.2;2023-01-14T20:00:00+01:00
10027;Demanda programada P48 total;;;29631.2;2023-01-14T21:00:00+01:00
10027;Demanda programada P48 total;;;27556.6;2023-01-14T22:00:00+01:00
10027;Demanda programada P48 total;;;25361.8;2023-01-14T23:00:00+01:00
10027;Demanda programada P48 total;;;23478.9;2023-01-15T00:00:00+01:00
10027;Demanda programada P48 total;;;21758.1;2023-01-15T01:00:00+01:00
10027;Demanda programada P48 total;;;20442;2023-01-15T02:00:00+01:00
10027;Demanda programada P48 total;;;19878.2;2023-01-15T03:00:00+01:00
10027;Demanda programada P48 total;;;19554.5;2023-01-15T04:00:00+01:00
10027;Demanda programada P48 total;;;19506.7;2023-01-15T05:00:00+01:00
10027;Demanda programada P48 total;;;19972.8;2023-01-15T06:00:00+01:00
10027;Demanda programada P48 total;;;20819.45;2023-01-15T07:00:00+01:00
10027;Demanda programada P48 total;;;21623.6;2023-01-15T08:00:00+01:00
10027;Demanda programada P48 total;;;23216.4;2023-01-15T09:00:00+01:00
10027;Demanda programada P48 total;;;24932.7;2023-01-15T10:00:00+01:00
10027;Demanda programada P48 total;;;25396.075;2023-01-15T11:00:00+01:00
10027;Demanda programada P48 total;;;25361.15;2023-01-15T12:00:00+01:00
10027;Demanda programada P48 total;;;25697.9;2023-01-15T13:00:00+01:00
10027;Demanda programada P48 total;;;25996.775;2023-01-15T14:00:00+01:00
10027;Demanda programada P48 total;;;24753.975;2023-01-15T15:00:00+01:00
10027;Demanda programada P48 total;;;24396.05;2023-01-15T16:00:00+01:00
10027;Demanda programada P48 total;;;24792.3;2023-01-15T17:00:00+01:00
10027;Demanda programada P48 total;;;27083.5;2023-01-15T18:00:00+01:00
10027;Demanda programada P48 total;;;28542.85;2023-01-15T19:00:00+01:00
10027;Demanda programada P48 total;;;29876.55;2023-01-15T20:00:00+01:00
10027;Demanda programada P48 total;;;29658.55;2023-01-15T21:00:00+01:00
10027;Demanda programada P48 total;;;27092.5;2023-01-15T22:00:00+01:00
10027;Demanda programada P48 total;;;24845.125;2023-01-15T23:00:00+01:00
10027;Demanda programada P48 total;;;22977.8;2023-01-16T00:00:00+01:00
10027;Demanda programada P48 total;;;21664.8;2023-01-16T01:00:00+01:00
10027;Demanda programada P48 total;;;20848.7;2023-01-16T02:00:00+01:00
10027;Demanda programada P48 total;;;20677.1;2023-01-16T03:00:00+01:00
10027;Demanda programada P48 total;;;20667.585;2023-01-16T04:00:00+01:00
10027;Demanda programada P48 total;;;21708.825;2023-01-16T05:00:00+01:00
10027;Demanda programada P48 total;;;25403.175;2023-01-16T06:00:00+01:00
